

wavelength (um), T
1.17905, 0.0054163
1.17827, 0.00474255
1.17748, 0.00409662
1.1767, 0.00409472
1.17592, 0.00469342
1.17514, 0.00522975
1.17436, 0.00526016
1.17359, 0.00523483
1.17281, 0.00615139
1.17204, 0.00845877
1.17126, 0.0114932
1.17049, 0.0145447
1.16972, 0.0195188
1.16895, 0.035298
1.16818, 0.0936102
1.16741, 0.39147
1.16664, 0.6263
1.16587, 0.110995
1.16511, 0.0419057
1.16434, 0.0248601
1.16358, 0.0160267
1.16282, 0.00983764
1.16205, 0.00638879
1.16129, 0.00533785
1.16053, 0.00522486
1.15978, 0.00473634
1.15902, 0.00374508
1.15826, 0.00302266
1.1575, 0.00310571
1.15675, 0.00362667
1.156, 0.00380114
1.15524, 0.00343362
1.15449, 0.00321655
1.15374, 0.00390996
1.15299, 0.00533746
1.15224, 0.00650246
1.15149, 0.00698698
1.15075, 0.00829026
1.15, 0.0136546




wavelength (um), T
1.7, 0.0722917
1.69837, 0.0750027
1.69675, 0.0765965
1.69513, 0.0771841
1.69351, 0.0767309
1.69189, 0.0751026
1.69028, 0.0722469
1.68867, 0.0682504
1.68706, 0.0632
1.68546, 0.0570771
1.68386, 0.0498716
1.68226, 0.0417911
1.68067, 0.0333202
1.67908, 0.0251241
1.67749, 0.0179883
1.67591, 0.0128132
1.67432, 0.0104576
1.67275, 0.0114135
1.67117, 0.0156031
1.6696, 0.0224549
1.66803, 0.0310943
1.66646, 0.0405355
1.66489, 0.0499147
1.66333, 0.0586833
1.66177, 0.0665839
1.66022, 0.07346
1.65867, 0.0791526
1.65712, 0.0835773
1.65557, 0.0867924
1.65403, 0.0888944
1.65249, 0.0898521
1.65095, 0.0894979
1.64941, 0.0876757
1.64788, 0.0843233
1.64635, 0.0793738
1.64482, 0.0726486
1.6433, 0.0639585
1.64178, 0.053367
1.64026, 0.041384
1.63875, 0.0290225
1.63723, 0.0178389
1.63572, 0.00987774
1.63422, 0.00716997
1.63271, 0.0108369
1.63121, 0.0205386
1.62971, 0.0347525
1.62821, 0.0514826
1.62672, 0.0688573
1.62523, 0.0855072
1.62374, 0.10071
1.62226, 0.114231
1.62078, 0.126005
1.6193, 0.135949
1.61782, 0.14402
1.61634, 0.150289
1.61487, 0.15483
1.6134, 0.157527
1.61194, 0.158055
1.61047, 0.156031
1.60901, 0.151108
1.60756, 0.142866
1.6061, 0.130706
1.60465, 0.114032
1.6032, 0.0927481
1.60175, 0.0678677
1.6003, 0.0420688
1.59886, 0.0200378
1.59742, 0.00779459
1.59598, 0.0102063
1.59455, 0.0280526
1.59312, 0.0576391
1.59169, 0.0933057
1.59026, 0.130063
1.58884, 0.164638
1.58741, 0.195418
1.58599, 0.222019
1.58458, 0.244694
1.58316, 0.263777
1.58175, 0.279435
1.58034, 0.291772
1.57894, 0.300933
1.57753, 0.306977
1.57613, 0.309629
1.57473, 0.308244
1.57333, 0.301985
1.57194, 0.289915
1.57055, 0.270838
1.56916, 0.243192
1.56777, 0.205497
1.56639, 0.157623
1.565, 0.102805
1.56362, 0.0499205
1.56225, 0.0138103
1.56087, 0.00955828
1.5595, 0.041923
1.55813, 0.101283
1.55676, 0.171679
1.5554, 0.240543
1.55403, 0.301522
1.55267, 0.352677
1.55132, 0.394336
1.54996, 0.427807
1.54861, 0.454544
1.54726, 0.475599
1.54591, 0.491518
1.54456, 0.502611
1.54322, 0.509127
1.54188, 0.511078
1.54054, 0.507936
1.5392, 0.498593
1.53787, 0.481549
1.53653, 0.454933
1.5352, 0.4162
1.53388, 0.36207
1.53255, 0.289668
1.53123, 0.19993
1.52991, 0.103806
1.52859, 0.0279474
1.52727, 0.00703679
1.52596, 0.0558289
1.52465, 0.152977
1.52334, 0.262984
1.52203, 0.362348
1.52072, 0.443246
1.51942, 0.506136
1.51812, 0.553957
1.51682, 0.589893
1.51553, 0.616783
1.51423, 0.636781
1.51294, 0.651149
1.51165, 0.660463
1.51037, 0.665047
1.50908, 0.665125
1.5078, 0.660514
1.50652, 0.650273
1.50524, 0.632704
1.50396, 0.60548
1.50269, 0.565375
1.50142, 0.507618
1.50015, 0.425908
1.49888, 0.315239
1.49761, 0.181104
1.49635, 0.0563732
1.49509, 0.00416454
1.49383, 0.0649347
1.49257, 0.20368
1.49132, 0.355498
1.49006, 0.4844
1.48881, 0.583962
1.48756, 0.659227
1.48632, 0.716547
1.48507, 0.760916
1.48383, 0.796087
1.48259, 0.824849
1.48135, 0.848921
1.48012, 0.869001
1.47888, 0.885248
1.47765, 0.89773
1.47642, 0.906274
1.47519, 0.909894
1.47397, 0.906427
1.47274, 0.892536
1.47152, 0.863391
1.4703, 0.811373
1.46908, 0.724259
1.46787, 0.585437
1.46665, 0.383709
1.46544, 0.149782
1.46423, 0.00757282
1.46302, 0.0920007
1.46182, 0.350133
1.46062, 0.630261
1.45941, 0.858793
1.45821, 1.03118
1.45702, 1.16197
1.45582, 1.26456
1.45463, 1.34785
1.45343, 1.41762
1.45224, 1.47792
1.45106, 1.53135
1.44987, 1.57898
1.44869, 1.62078
1.4475, 1.65643
1.44632, 1.68554
1.44514, 1.70693
1.44397, 1.71766
1.44279, 1.71274
1.44162, 1.68472
1.44045, 1.62178
1.43928, 1.50342
1.43811, 1.29521
1.43695, 0.951631
1.43579, 0.468164
1.43462, 0.0538926
1.43347, 0.123521
1.43231, 0.635109
1.43115, 1.1733
1.43, 1.56662
1.42885, 1.82996
1.4277, 2.00751
1.42655, 2.13121
1.4254, 2.21968
1.42426, 2.2835
1.42311, 2.32938
1.42197, 2.36196
1.42083, 2.38379
1.4197, 2.39552
1.41856, 2.39697
1.41743, 2.38811
1.4163, 2.36878
1.41517, 2.33741
1.41404, 2.29016
1.41291, 2.22093
1.41179, 2.12043
1.41066, 1.97234
1.40954, 1.74569
1.40842, 1.38614
1.40731, 0.833603
1.40619, 0.199025
1.40508, 0.0569272
1.40396, 0.587646
1.40285, 1.15204
1.40175, 1.4949
1.40064, 1.67001
1.39953, 1.7484
1.39843, 1.77251
1.39733, 1.76446
1.39623, 1.73544
1.39513, 1.69185
1.39403, 1.63831
1.39294, 1.57814
1.39185, 1.51289
1.39075, 1.4429
1.38967, 1.3685
1.38858, 1.29069
1.38749, 1.21035
1.38641, 1.12721
1.38532, 1.03984
1.38424, 0.946419
1.38316, 0.844471
1.38209, 0.728637
1.38101, 0.586892
1.37993, 0.398171
1.37886, 0.156731
1.37779, 0.00476721
1.37672, 0.11589
1.37565, 0.258245
1.37459, 0.31345
1.37352, 0.314348
1.37246, 0.290932
1.3714, 0.25802
1.37034, 0.222453
1.36928, 0.18717
1.36823, 0.153549
1.36717, 0.122653
1.36612, 0.0953896
1.36507, 0.0721846
1.36402, 0.0530102
1.36297, 0.037837
1.36192, 0.026879
1.36088, 0.020331
1.35983, 0.0180598
1.35879, 0.0197296
1.35775, 0.0251096
1.35671, 0.0339505
1.35568, 0.0453502
1.35464, 0.0569676
1.35361, 0.0635482
1.35258, 0.0528752
1.35154, 0.013569
1.35052, 0.0180142
1.34949, 0.100006
1.34846, 0.177972
1.34744, 0.240652
1.34642, 0.296022
1.34539, 0.348754
1.34437, 0.400398
1.34336, 0.451342
1.34234, 0.502143
1.34132, 0.553491
1.34031, 0.605415
1.3393, 0.657107
1.33829, 0.707797
1.33728, 0.757516
1.33627, 0.806647
1.33527, 0.854825
1.33426, 0.90069
1.33326, 0.942783
1.33226, 0.980109
1.33126, 1.01104
1.33026, 1.031
1.32926, 1.02958
1.32827, 0.983774
1.32727, 0.834936
1.32628, 0.450484
1.32529, 0.0213213
1.3243, 0.454819
1.32331, 0.931371
1.32232, 1.16495
1.32134, 1.28761
1.32036, 1.36434
1.31937, 1.418
1.31839, 1.45644
1.31741, 1.48439
1.31644, 1.50666
1.31546, 1.52623
1.31448, 1.54255
1.31351, 1.55359
1.31254, 1.55926
1.31157, 1.56207
1.3106, 1.56396
1.30963, 1.56359
1.30867, 1.55775
1.3077, 1.54515
1.30674, 1.52727
1.30578, 1.50406
1.30482, 1.4687
1.30386, 1.40478
1.3029, 1.27901
